,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,nikolskoye,ru,59.7,30.79,26.6,92.0,90.0,20.13
1,bredasdorp,za,-34.53,20.04,63.0,98.0,0.0,13.22
3,quatre cocos,mu,-20.21,57.76,84.2,70.0,40.0,11.41
4,ankang,cn,32.73,108.99,67.23,54.0,24.0,2.59
5,linfen,cn,36.09,111.52,58.68,51.0,92.0,5.39
6,touros,br,-5.2,-35.46,79.83,84.0,76.0,8.41
7,khatanga,ru,71.98,102.47,-14.5,88.0,0.0,3.71
8,kapaa,us,22.08,-159.32,69.62,88.0,90.0,4.7
9,tuktoyaktuk,ca,69.44,-133.03,-10.92,83.0,75.0,5.82
10,atuona,pf,-9.8,-139.03,79.83,100.0,92.0,12.55
11,acapulco,mx,16.86,-99.88,72.9,85.0,0.0,3.94
12,padang,id,-0.92,100.36,82.35,100.0,24.0,2.37
14,new norfolk,au,-42.78,147.06,73.4,38.0,20.0,10.29
15,sitka,us,37.17,-99.65,49.41,76.0,8.0,4.5
16,busselton,au,-33.64,115.35,74.79,84.0,0.0,14.0
17,sinnamary,gf,5.38,-52.96,79.38,96.0,88.0,13.0
18,mamontovo,ru,52.71,81.63,35.82,93.0,92.0,12.66
19,tasiilaq,gl,65.61,-37.64,26.6,92.0,88.0,8.05
20,sept-iles,ca,50.2,-66.38,32.0,74.0,75.0,8.05
21,rocha,uy,-34.48,-54.34,54.63,79.0,12.0,8.41
22,iranshahr,ir,27.21,60.69,78.8,22.0,0.0,4.7
23,albany,au,-35.02,117.88,66.96,71.0,88.0,11.99
24,neyshabur,ir,36.21,58.79,53.1,85.0,0.0,2.15
25,matara,lk,5.95,80.54,88.11,80.0,24.0,9.64
26,puerto ayora,ec,-0.74,-90.35,80.1,100.0,8.0,5.5
27,ullal,in,12.8,74.85,89.6,46.0,0.0,6.93
28,rikitea,pf,-23.12,-134.97,79.83,100.0,76.0,11.77
29,camacha,pt,33.08,-16.33,58.23,76.0,40.0,8.05
30,pangnirtung,ca,66.15,-65.72,-18.91,55.0,8.0,7.52
31,boyolangu,id,-8.09,111.9,83.43,91.0,24.0,7.18
32,aklavik,ca,68.22,-135.01,-2.21,70.0,20.0,6.73
33,longyearbyen,sj,78.22,15.64,12.2,66.0,75.0,2.24
34,torbay,ca,47.66,-52.73,30.2,100.0,90.0,11.41
35,saskylakh,ru,71.97,114.09,-7.3,76.0,64.0,8.97
36,wagga wagga,au,-35.12,147.37,80.6,34.0,0.0,12.75
37,caravelas,br,-17.73,-39.27,79.38,100.0,88.0,12.21
38,saint george,bm,32.38,-64.68,64.4,68.0,75.0,19.46
39,terrace,ca,54.52,-128.61,32.0,97.0,90.0,8.05
40,ushuaia,ar,-54.81,-68.31,44.6,70.0,40.0,20.8
41,jamestown,sh,-15.94,-5.72,73.35,100.0,80.0,13.89
42,cayenne,gf,4.94,-52.33,75.2,88.0,20.0,2.24
43,san patricio,mx,19.22,-104.7,66.33,100.0,20.0,2.15
44,ahipara,nz,-35.17,173.16,65.16,100.0,80.0,6.4
45,hermanus,za,-34.42,19.24,52.2,86.0,0.0,2.48
46,vaini,to,-21.2,-175.2,82.4,78.0,75.0,4.27
47,butaritari,ki,3.07,172.79,83.61,96.0,68.0,19.6
48,kirovohrad,ua,48.51,32.26,13.41,58.0,12.0,2.93
49,sobolevo,ru,54.43,31.9,30.78,90.0,80.0,18.48
51,ponta delgada,pt,37.73,-25.67,60.8,93.0,20.0,14.99
52,beloha,mg,-25.17,45.06,82.35,70.0,0.0,14.0
53,matelica,it,43.26,13.01,41.0,52.0,20.0,19.46
54,steger,us,41.47,-87.64,33.8,69.0,90.0,4.7
55,bluff,nz,-46.6,168.33,55.62,100.0,92.0,14.9
56,tautira,pf,-17.73,-149.15,82.4,74.0,40.0,5.82
58,port lincoln,au,-34.72,135.86,77.85,65.0,0.0,7.18
59,najran,sa,17.54,44.22,69.8,16.0,0.0,4.7
